,PRICE,TIME,ID
0,1300019,27410,410
1,1301060,38110,110
2,1302851,39923,923
3,1303832,39766,766
4,1307674,26470,470
5,1307679,37293,293
6,1308565,38203,203
7,1311300,27433,433
8,1311369,38479,479
9,1313419,39453,453
10,1313925,39932,932
11,1314404,27769,769
12,1314774,38283,283
13,1315073,28559,559
14,1315801,39416,416
15,1317079,39295,295
16,1321279,38122,122
17,1322981,38329,329
18,1327834,27384,384
19,1327851,38832,832
20,1328046,39899,899
21,1330076,28582,582
22,1330243,38774,774
23,1331298,39719,719
24,1331783,37489,489
25,1332797,37466,466
26,1332887,39068,68
27,1335380,37488,488
28,1335454,39793,793
29,1337107,39915,915
30,1337894,39168,168
31,1340362,39592,592
32,1341102,27035,35
33,1342698,27825,825
34,1343550,37778,778
35,1344150,38201,201
36,1345176,28997,997
37,1345744,37534,534
38,1347344,27867,867
39,1347978,39750,750
40,1348014,39473,473
41,1349504,39442,442
42,1351005,28541,541
43,1351682,37792,792
44,1352042,38621,621
45,1352112,38046,46
46,1352767,39105,105
47,1353335,37868,868
48,1355751,28931,931
49,1356617,37764,764
50,1357291,28905,905
51,1357305,38394,394
52,1357460,37942,942
53,1359021,27328,328
54,1362464,38654,654
55,1363038,38380,380
56,1363199,28359,359
57,1363360,39260,260
58,1363723,39783,783
59,1364001,37941,941
60,1366408,37585,585
61,1366964,39801,801
62,1369548,39192,192
63,1370281,27633,633
64,1370626,27605,605
65,1375148,38859,859
66,1375220,37896,896
67,1375237,39869,869
68,1375925,38772,772
69,1378057,38619,619
70,1379108,38550,550
71,1380436,37624,624
72,1380593,28319,319
73,1382200,37573,573
74,1383265,39499,499
75,1385091,37590,590
76,1385379,39717,717
77,1385754,37733,733
78,1386232,39272,272
79,1386619,37509,509
80,1387858,38578,578
81,1388644,38564,564
82,1389284,39964,964
83,1390083,38865,865
84,1390252,39591,591
85,1393005,39812,812
86,1393363,39548,548
87,1394187,39449,449
88,1395564,37761,761
89,1396460,27653,653
90,1397645,27344,344
91,1406093,39775,775
